Name,Gender,Department,Salary,Location,Rating
Yvette Bett,Male,Human Resources,"$76,320 ",Mississipi,Good
Ianthe Sayre,Male,Support,"$110,730 ",Florida,Very Good
Jacklyn Andrioletti,Female,Training,"$86,990 ",Florida,Poor
Eliza Hoggan,Female,Legal,,Mississipi,Average
Conchita Soden,Male,Marketing,"$74,410 ",Florida,Good
Reggie Taylerson,Male,Marketing,"$87,610 ",Mississipi,Good
Leslie Cardoso,Female,Business Development,"$103,340 ",Florida,Good
Milton Lilie,Female,Business Development,"$46,470 ",Texas,Average
Aeriell Cuell,Male,Legal,"$108,290 ",Florida,Very Poor
Anne-corinne Daulby,Male,Engineering,"$78,640 ",Mississipi,Good
Lisle Danahar,Undisclosed,Sales,"$75,990 ",Texas,Average
Bryana Loyns,Male,Sales,"$55,280 ",Texas,Average
Anjela Spancock,Undisclosed,Accounting,"$98,010 ",Mississipi,Average
Daisie McNeice,Male,Human Resources,"$50,310 ",Texas,Average
Jillana Gabbitis,Male,Marketing,"$91,360 ",Texas,Average
Roddy Speechley,Male,Accounting,"$115,920 ",Florida,Good
Oran Buxcy,Female,Engineering,"$56,870 ",Mississipi,Poor
Beverie Moffet,Female,Support,"$75,970 ",Florida,Very Good
Novelia Pyffe,Male,Accounting,"$52,270 ",Texas,Good
Dare Tully,Male,Business Development,"$39,780 ",Mississipi,Not Rated
Lilyan Klimpt,Male,Services,"$58,960 ",Mississipi,Average
Jo-anne Gobeau,Female,Training,"$37,900 ",Florida,Good
Sheff Gerdts,Male,Business Development,"$89,160 ",Mississipi,Good
Florinda Crace,Female,Sales,"$45,510 ",Florida,Good
Dominic Ortler,Female,Product Management,"$66,610 ",Florida,Average
Cathrin Yanuk,Male,Sales,"$44,120 ",Mississipi,Very Poor
Austine Littlewood,Female,Services,"$32,270 ",Florida,Average
Alford Gerardi,Female,Engineering,"$37,130 ",Mississipi,Not Rated
Cullie Bourcq,Female,Sales,"$45,590 ",Florida,Good
Emanuel Beldan,Male,Accounting,"$94,070 ",Florida,Average
Danica Nayshe,Female,Services,"$89,690 ",Texas,Not Rated
Hildagard Reece,Female,Services,"$41,220 ",Mississipi,Average
Kai Ryder,Female,Accounting,"$119,930 ",Mississipi,Average
Alfred Peplay,Female,Human Resources,"$60,580 ",Texas,Not Rated
Jeannie Petracco,Female,Engineering,"$94,820 ",Florida,Average
Brad Gumb,Male,Accounting,"$38,830 ",Texas,Good
Bonnie Newland,Male,NULL,"$91,450 ",Florida,Average
Reinald Franken,Female,Engineering,"$28,870 ",Florida,Very Good
Carolyn Attack,Female,Marketing,"$70,760 ",Mississipi,Good
Bogey Hitcham,Male,Product Management,"$106,170 ",Florida,Good
Naoma Cruse,Male,Research and Development,"$71,540 ",Texas,Average
Oates Dinan,Female,Research and Development,"$104,680 ",Mississipi,Average
Daphne Francillo,Male,Training,"$63,370 ",Mississipi,Average
Kissiah Maydway,Male,Accounting,"$106,460 ",Mississipi,Good
Trix Lutsch,Male,Business Development,"$106,400 ",Mississipi,Average
Carolin Fieldstone,Female,Marketing,"$36,920 ",Texas,Average
Dulsea Folkes,Female,Services,"$42,160 ",Florida,Average
Corabel Luberto,Female,Human Resources,"$57,820 ",Texas,Average
Nicola Kiely,Female,Business Development,"$93,740 ",Texas,Average
Rey Chartman,Female,Training,"$93,960 ",Texas,Poor
Israel Farndon,Male,Marketing,"$107,220 ",Mississipi,Average
Felipe Parkman,Female,Training,"$90,150 ",Florida,Very Good
Margit Kunze,Male,Engineering,"$94,020 ",Florida,Good
Oliy Feeney,Female,Marketing,"$42,970 ",Mississipi,Good
Sandie Anthonies,Male,Legal,"$33,410 ",Texas,Average
Anni Dinse,Male,Product Management,"$119,670 ",Mississipi,Average
Gaultiero Have,Male,Accounting,"$115,380 ",Texas,Average
Corinna Griffiths,Male,Support,"$75,010 ",Texas,Good
Cherlyn Barter,Female,Accounting,"$104,120 ",Florida,Good
Shea Mix,Male,Research and Development,"$82,680 ",Mississipi,Very Poor
Leonidas Cavaney,Male,Accounting,"$52,250 ",Texas,Very Poor
Tallie Chaikovski,Male,Sales,"$83,190 ",Mississipi,Average
Andria Kimpton,Male,Product Management,"$69,120 ",Texas,Average
Rik Delete,Female,Training,,Texas,Good
Bill Luffman,Undisclosed,NULL,"$41,570 ",Florida,Average
Codie Gaunson,Male,Accounting,"$83,590 ",Florida,Poor
Kaine Padly,Male,Research and Development,"$107,700 ",Florida,Very Good
Freda Legan,Female,Sales,"$102,130 ",Texas,Average
Hiram Merkle,Male,Legal,"$116,090 ",Texas,Average
Christos Wintle,Male,Engineering,"$74,360 ",Mississipi,Good
Magnum Locksley,Female,Services,"$42,310 ",Florida,Not Rated
Adrianne Gave,Male,Engineering,"$78,440 ",Mississipi,Poor
Warner Carwithan,Female,Support,"$113,760 ",Texas,Good
Appolonia Snook,Female,Services,"$93,880 ",Texas,Average
Alikee Jecock,Female,Legal,"$85,000 ",Texas,Poor
Shay Chasney,Male,Human Resources,"$72,550 ",Mississipi,Average
Trey Jurges,Female,Legal,"$72,360 ",Texas,Poor
Tracy Renad,Female,Accounting,"$114,890 ",Florida,Average
Sarajane Peachey,Female,Marketing,"$107,580 ",Florida,Poor
Bili Sizey,Male,Research and Development,"$36,040 ",Florida,Average
Clement Penhearow,Female,NULL,"$58,310 ",Texas,Average
Shaun Kyrkeman,Male,Product Management,"$35,010 ",Texas,Average
Leena Bruckshaw,Male,Research and Development,"$74,280 ",Mississipi,Average
Benni Simounet,Male,Research and Development,"$115,790 ",Mississipi,Very Poor
Kay Edling,Male,Support,"$38,330 ",Mississipi,Average
Shayne Stegel,Male,Business Development,"$70,270 ",Florida,Very Good
Floyd Cowgill,Male,Support,"$37,060 ",Texas,Average
William Reeveley,Male,Training,"$53,870 ",Florida,Good
Claretta MacQuist,Male,Human Resources,,Florida,Average
Inger Chapelhow,Female,Research and Development,"$84,310 ",Florida,Good
Brien Boise,Female,Research and Development,"$58,100 ",Texas,Very Good
Pancho De Ortega,Male,Support,"$99,780 ",Texas,Very Good
Edd MacKnockiter,Male,Accounting,"$119,020 ",Mississipi,Poor
Hobie Stockbridge,Male,Engineering,"$92,940 ",Mississipi,Good
Ludovika Plaice,Male,Training,"$59,670 ",Texas,Not Rated
Odessa Pusill,Female,NULL,"$41,000 ",Mississipi,Not Rated
Caro Hainsworth,Male,Marketing,"$77,470 ",Texas,Good
Nicolis Winspire,Male,Engineering,"$45,650 ",Mississipi,Good
Niko MacGille,Female,Engineering,"$88,430 ",Mississipi,Average
Evanne Levens,Male,Human Resources,"$36,880 ",Texas,Good
Trix Lutsch,Male,Business Development,"$106,400 ",Florida,Poor
Michale Rolf,Male,Services,"$111,820 ",Mississipi,Very Good
Cecilla Northen,Male,Human Resources,"$92,870 ",Florida,Average
Cyrillus Garci,Male,Business Development,"$100,360 ",Mississipi,Average
Dayle O'Luney,Female,Research and Development,"$46,750 ",Mississipi,Average
Gunar Cockshoot,Male,Business Development,"$48,950 ",Florida,Good
Silva Monte,Male,Sales,"$52,810 ",Florida,Poor
Hans Bucke,Male,Legal,"$78,560 ",Texas,Very Poor
Elia Cockton,Female,Support,"$75,280 ",Texas,Average
Freddy Linford,Female,Training,"$93,130 ",Texas,Poor
Gwenore Scotchmer,Female,Business Development,"$105,290 ",Texas,Very Poor
Maggie Ruberti,Male,Training,"$108,340 ",Texas,Not Rated
Desi Peniman,Female,Legal,"$31,090 ",Texas,Average
Allyce Hincham,Male,Business Development,"$101,420 ",Mississipi,Average
Juanita Trembey,Undisclosed,Business Development,"$54,780 ",Texas,Very Good
Lincoln Cord,Female,Support,"$63,560 ",Florida,Very Good
Kerwin Blakely,Male,Research and Development,"$68,480 ",Mississipi,Poor
Granny Spencelayh,Male,Legal,"$99,460 ",Florida,Average
Collin Jagson,Male,Services,"$100,420 ",Florida,Poor
Monti Burdus,Female,Human Resources,"$39,650 ",Florida,Average
Konstantin Timblett,Female,Training,"$56,250 ",Florida,Average
Fax Scotland,Female,Marketing,"$57,640 ",Florida,Average
Isidora Guido,Male,Engineering,"$43,150 ",Florida,Very Good
Erv Havill,Female,Accounting,"$106,080 ",Florida,Not Rated
Yoshiko Tamblingson,Male,Sales,"$29,590 ",Texas,Good
Barri Teacy,Female,Accounting,"$86,240 ",Mississipi,Average
Alisha Bloschke,Undisclosed,Product Management,"$36,480 ",Florida,Average
Jerrilee Maginot,Male,Business Development,,Texas,Average
Adi Seawright,Female,Marketing,"$48,590 ",Texas,Very Poor
Eward Astlett,Male,Engineering,"$41,670 ",Mississipi,Average
Chauncey Schild,Female,Support,"$107,340 ",Mississipi,Very Good
Larissa Ingledow,Male,Research and Development,"$62,280 ",Texas,Not Rated
Orton Livick,Male,Services,"$37,920 ",Florida,Not Rated
Jolynn Edkins,Female,Support,,Texas,Average
Beverie Moffet,Female,Support,"$75,970 ",Texas,Average
Katey Cadany,Male,Services,"$92,010 ",Florida,Very Poor
Alida Welman,Male,Human Resources,"$69,860 ",Mississipi,Poor
Nicole Blowfelde,Female,Training,"$59,560 ",Texas,Very Good
Kelley Rounds,Female,Engineering,"$114,810 ",Texas,Average
Felice McMurty,Female,Product Management,"$66,870 ",Florida,Not Rated
Layton Kierans,Male,Human Resources,"$113,790 ",Texas,Very Poor
Hedwiga Ingarfield,Female,Legal,"$38,250 ",Texas,Average
Frasquito Mosley,Undisclosed,Support,"$48,090 ",Florida,Not Rated
Amandy Jope,Male,Accounting,"$99,630 ",Florida,Average
Tarrah Wordsworth,Female,Product Management,"$86,340 ",Florida,Poor
Fairfax Wallsam,Undisclosed,Sales,"$88,590 ",Florida,Average
Chelsea Itzak,Male,Support,"$61,100 ",Texas,Average
Craggie Whistlecraft,Male,Product Management,"$71,240 ",Florida,Average
Faina Durand,Male,Sales,"$114,650 ",Texas,Very Poor
Joella Maevela,Female,Sales,"$76,210 ",Texas,Good
Virginia McConville,Female,Human Resources,"$76,900 ",Florida,Very Good
Candy Aindrais,Female,Business Development,"$116,590 ",Mississipi,Very Good
Allene Gobbet,Female,Engineering,"$78,390 ",Florida,Average
Ruthanne Beadnell,Female,Accounting,"$103,610 ",Texas,Poor
Damien Netley,Male,Engineering,"$98,110 ",Florida,Good
Rasia Fryatt,Female,Human Resources,"$33,960 ",Mississipi,Not Rated
Bev Lashley,Male,Business Development,"$112,110 ",Texas,Not Rated
Curtice Advani,Male,Product Management,"$59,810 ",Mississipi,Good
Madge McCloughen,Undisclosed,Training,"$91,310 ",Texas,Average
Frasier Straw,Male,Business Development,"$71,370 ",Mississipi,Average
Dean Biggam,Female,Training,"$71,570 ",Florida,Not Rated
Anni Dinse,Male,Product Management,"$119,670 ",Mississipi,Not Rated
Husein Augar,Female,Marketing,"$67,910 ",Texas,Average
Shaylyn Ransbury,Female,Support,"$100,370 ",Florida,Average
Christoph Stretton,Female,Business Development,"$90,240 ",Florida,Poor
Jordain Cyster,Female,Engineering,"$75,870 ",Texas,Average
Malory Biles,Female,Training,"$58,740 ",Texas,Not Rated
Adey Ryal,Female,Legal,"$32,500 ",Mississipi,Average
